Message ID,Subject,Message,Spam/Ham,Date
<msg271@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #271,Ham,2022-05-15
<msg272@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #272,Ham,2022-09-15
<msg273@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #273",Ham,2022-04-26
<msg274@enron.com>,Project Update,Thank you for your feedback on the latest draft. #274,Ham,2022-03-20
<msg275@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #275,Ham,2022-04-27
<msg276@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #276,Ham,2022-08-18
<msg277@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #277,Ham,2022-12-09
<msg278@enron.com>,Weekly Report,Please send the updated design documents by EOD. #278,Ham,2022-01-03
<msg279@enron.com>,Client Feedback,Please send the updated design documents by EOD. #279,Ham,2022-08-26
<msg280@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #280,Ham,2022-10-04
<msg281@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #281,Ham,2022-05-13
<msg282@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #282,Ham,2022-03-05
<msg283@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #283,Ham,2022-03-18
<msg284@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #284,Ham,2022-06-13
<msg285@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #285",Ham,2022-12-02
<msg286@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #286,Ham,2022-10-11
<msg287@enron.com>,Project Update,"Hi John, please find the attached report for this week. #287",Ham,2022-10-16
<msg288@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #288,Ham,2022-07-13
<msg289@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #289,Ham,2022-12-26
<msg290@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #290",Ham,2022-12-16
<msg291@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #291,Ham,2022-06-02
<msg292@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #292,Ham,2022-01-02
<msg293@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #293",Ham,2022-03-23
<msg294@enron.com>,Client Feedback,Please send the updated design documents by EOD. #294,Ham,2022-05-17
<msg295@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #295,Ham,2022-07-26
<msg296@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #296",Ham,2022-08-16
<msg297@enron.com>,Project Update,"Hi John, please find the attached report for this week. #297",Ham,2022-09-15
<msg298@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #298,Ham,2022-11-04
<msg299@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #299,Ham,2022-03-31
<msg300@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #300,Ham,2022-11-13
<msg301@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #301,Ham,2022-06-03
<msg302@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #302",Ham,2022-01-25
<msg303@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #303,Ham,2022-04-14
<msg304@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #304,Ham,2022-03-03
<msg305@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #305,Ham,2022-10-16
<msg306@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #306,Ham,2022-01-05
<msg307@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #307,Ham,2022-03-03
<msg308@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #308,Ham,2022-12-21
<msg309@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #309,Ham,2022-06-05
<msg310@enron.com>,Project Update,"Hi John, please find the attached report for this week. #310",Ham,2022-12-13
<msg311@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #311,Ham,2022-01-03
<msg312@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #312,Ham,2022-11-21
<msg313@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #313,Ham,2022-11-30
<msg314@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #314",Ham,2022-01-10
<msg315@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #315,Ham,2022-07-13
<msg316@enron.com>,Project Update,"Hi John, please find the attached report for this week. #316",Ham,2022-01-31
<msg317@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #317,Ham,2022-12-08
<msg318@enron.com>,Project Update,Please send the updated design documents by EOD. #318,Ham,2022-12-04
<msg319@enron.com>,Project Update,Thank you for your feedback on the latest draft. #319,Ham,2022-12-16
<msg320@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #320,Ham,2022-03-27
<msg321@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #321,Ham,2022-01-22
<msg322@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #322,Ham,2022-05-02
<msg323@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #323,Ham,2022-12-03
<msg324@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #324,Ham,2022-06-20
<msg325@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #325,Ham,2022-09-15
<msg326@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #326,Ham,2022-05-26
<msg327@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #327",Ham,2022-07-15
<msg328@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #328,Ham,2022-07-07
<msg329@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #329,Ham,2022-09-24
<msg330@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #330,Ham,2022-06-02
<msg331@enron.com>,Project Update,"Hi John, please find the attached report for this week. #331",Ham,2022-06-12
<msg332@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #332,Ham,2022-03-12
<msg333@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #333,Ham,2022-07-31
<msg334@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #334,Ham,2022-05-31
<msg335@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #335,Ham,2022-05-10
<msg336@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #336",Ham,2022-03-29
<msg337@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #337,Ham,2022-06-10
<msg338@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #338,Ham,2022-11-08
<msg339@enron.com>,Project Update,"Hi John, please find the attached report for this week. #339",Ham,2022-09-26
<msg340@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #340,Ham,2022-06-10
<msg341@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #341,Ham,2022-01-23
<msg342@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #342,Ham,2022-10-12
<msg343@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #343,Ham,2022-02-25
<msg344@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #344,Ham,2022-01-02
<msg345@enron.com>,Project Update,Thank you for your feedback on the latest draft. #345,Ham,2022-05-07
<msg346@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #346,Ham,2022-01-21
<msg347@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #347,Ham,2022-01-21
<msg348@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #348,Ham,2022-02-06
<msg349@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #349,Ham,2022-05-09
<msg350@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #350,Ham,2022-11-21
<msg351@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #351,Ham,2022-11-06
<msg352@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #352,Ham,2022-04-11
<msg353@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #353,Ham,2022-05-09
<msg354@enron.com>,Client Feedback,Please send the updated design documents by EOD. #354,Ham,2022-01-02
<msg355@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #355,Ham,2022-04-23
<msg356@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #356,Ham,2022-01-29
<msg357@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #357,Ham,2022-07-08
<msg358@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #358,Ham,2022-11-26
<msg359@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #359,Ham,2022-04-06
<msg360@enron.com>,Client Feedback,Please send the updated design documents by EOD. #360,Ham,2022-05-30
<msg361@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #361",Ham,2022-01-14
<msg362@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #362,Ham,2022-07-24
<msg363@enron.com>,Client Feedback,Please send the updated design documents by EOD. #363,Ham,2022-07-27
<msg364@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #364,Ham,2022-10-02
<msg365@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #365,Ham,2022-08-21
<msg366@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #366,Ham,2022-03-25
<msg367@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #367",Ham,2022-06-08
<msg368@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #368",Ham,2022-10-26
<msg369@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #369",Ham,2022-03-22
<msg370@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #370,Ham,2022-11-07
<msg371@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #371,Ham,2022-10-04
<msg372@enron.com>,Weekly Report,Please send the updated design documents by EOD. #372,Ham,2022-09-28
<msg373@enron.com>,Weekly Report,Please send the updated design documents by EOD. #373,Ham,2022-10-16
<msg374@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #374,Ham,2022-12-11
<msg375@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #375,Ham,2022-07-31
<msg376@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #376",Ham,2022-04-18
<msg377@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #377,Ham,2022-05-24
<msg378@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #378",Ham,2022-11-05
<msg379@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #379,Ham,2022-03-06
<msg380@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #380,Ham,2022-10-27
<msg381@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #381",Ham,2022-03-29
<msg382@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #382,Ham,2022-06-30
<msg383@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #383,Ham,2022-07-20
<msg384@enron.com>,Client Feedback,Please send the updated design documents by EOD. #384,Ham,2022-08-03
<msg385@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #385,Ham,2022-01-28
<msg386@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #386,Ham,2022-03-06
<msg387@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #387,Ham,2022-12-25
<msg388@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #388,Ham,2022-09-15
<msg389@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #389",Ham,2022-01-03
<msg390@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #390,Ham,2022-10-27
<msg391@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #391,Ham,2022-11-11
<msg392@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #392,Ham,2022-02-10
<msg393@enron.com>,Weekly Report,Please send the updated design documents by EOD. #393,Ham,2022-12-17
<msg394@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #394,Ham,2022-07-17
<msg395@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #395",Ham,2022-10-19
<msg396@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #396,Ham,2022-12-01
<msg397@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #397,Ham,2022-01-07
<msg398@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #398,Ham,2022-03-06
<msg399@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #399,Ham,2022-12-06
<msg400@enron.com>,Project Update,Thank you for your feedback on the latest draft. #400,Ham,2022-01-21
<msg401@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #401,Ham,2022-08-13
<msg402@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #402,Ham,2022-04-03
<msg403@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #403,Ham,2022-06-17
<msg404@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #404,Ham,2022-03-21
<msg405@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #405,Ham,2022-04-03
<msg406@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #406,Ham,2022-11-06
<msg407@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #407,Ham,2022-11-17
<msg408@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #408,Ham,2022-09-23
<msg409@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #409,Ham,2022-10-25
<msg410@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #410",Ham,2022-03-30
<msg411@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #411",Ham,2022-09-26
<msg412@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #412,Ham,2022-09-13
<msg413@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #413,Ham,2022-12-11
<msg414@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #414",Ham,2022-10-16
<msg415@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #415,Ham,2022-11-26
<msg416@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #416,Ham,2022-03-06
<msg417@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #417,Ham,2022-02-19
<msg418@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #418",Ham,2022-11-07
<msg419@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #419,Ham,2022-11-21
<msg420@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #420,Ham,2022-01-07
<msg421@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #421,Ham,2022-04-03
<msg422@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #422,Ham,2022-09-21
<msg423@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #423",Ham,2022-09-12
<msg424@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #424,Ham,2022-03-15
<msg425@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #425,Ham,2022-09-01
<msg426@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #426,Ham,2022-12-08
<msg427@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #427,Ham,2022-07-27
<msg428@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #428,Ham,2022-11-05
<msg429@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #429,Ham,2022-06-22
<msg430@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #430,Ham,2022-03-05
<msg431@enron.com>,Project Update,Please send the updated design documents by EOD. #431,Ham,2022-09-05
<msg432@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #432",Ham,2022-10-08
<msg433@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #433,Ham,2022-11-27
<msg434@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #434,Ham,2022-03-09
<msg435@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #435,Ham,2022-09-16
<msg436@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #436",Ham,2022-08-08
<msg437@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #437,Ham,2022-01-04
<msg438@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #438,Ham,2022-12-27
<msg439@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #439,Ham,2022-07-15
<msg440@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #440,Ham,2022-11-11
<msg441@enron.com>,Project Update,"Hi John, please find the attached report for this week. #441",Ham,2022-08-06
<msg442@enron.com>,Client Feedback,Please send the updated design documents by EOD. #442,Ham,2022-02-28
<msg443@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #443,Ham,2022-08-18
<msg444@enron.com>,Project Update,Please send the updated design documents by EOD. #444,Ham,2022-03-08
<msg445@enron.com>,Project Update,Please send the updated design documents by EOD. #445,Ham,2022-05-27
<msg446@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #446,Ham,2022-01-08
<msg447@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #447,Ham,2022-12-16
<msg448@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #448,Ham,2022-08-08
<msg449@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #449,Ham,2022-02-12
<msg450@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #450,Ham,2022-02-25
<msg451@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #451,Ham,2022-03-01
<msg452@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #452,Ham,2022-09-01
<msg453@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #453,Ham,2022-01-29
<msg454@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #454,Ham,2022-03-04
<msg455@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #455,Ham,2022-04-27
<msg456@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #456,Ham,2022-04-14
<msg457@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #457,Ham,2022-01-25
<msg458@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #458",Ham,2022-11-03
<msg459@enron.com>,Project Update,Thank you for your feedback on the latest draft. #459,Ham,2022-01-31
<msg460@enron.com>,Weekly Report,Please send the updated design documents by EOD. #460,Ham,2022-09-30
<msg461@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #461,Ham,2022-03-14
<msg462@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #462,Ham,2022-09-06
<msg463@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #463",Ham,2022-09-12
<msg464@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #464,Ham,2022-12-23
<msg465@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #465,Ham,2022-05-07
<msg466@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #466,Ham,2022-07-27
<msg467@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #467,Ham,2022-05-12
<msg468@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #468,Ham,2022-06-13
<msg469@enron.com>,Weekly Report,Please send the updated design documents by EOD. #469,Ham,2022-03-14
<msg470@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #470,Ham,2022-07-18
<msg471@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #471,Ham,2022-06-16
<msg472@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #472",Ham,2022-05-13
<msg473@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #473,Ham,2022-11-14
<msg474@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #474",Ham,2022-11-06
<msg475@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #475,Ham,2022-01-18
<msg476@enron.com>,Client Feedback,Please send the updated design documents by EOD. #476,Ham,2022-04-17
<msg477@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #477",Ham,2022-04-26
<msg478@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #478,Ham,2022-01-05
<msg479@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #479,Ham,2022-06-22
<msg480@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #480,Ham,2022-07-09
<msg481@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #481,Ham,2022-01-15
<msg482@enron.com>,Weekly Report,Please send the updated design documents by EOD. #482,Ham,2022-07-03
<msg483@enron.com>,Project Update,Please send the updated design documents by EOD. #483,Ham,2022-09-18
<msg484@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #484,Ham,2022-02-14
<msg485@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #485,Ham,2022-03-08
<msg486@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #486,Ham,2022-01-26
<msg487@enron.com>,Project Update,"Hi John, please find the attached report for this week. #487",Ham,2022-04-19
<msg488@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #488",Ham,2022-03-01
<msg489@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #489,Ham,2022-06-09
<msg490@enron.com>,Weekly Report,Please send the updated design documents by EOD. #490,Ham,2022-11-29
<msg491@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #491,Ham,2022-06-24
<msg492@enron.com>,Project Update,"Hi John, please find the attached report for this week. #492",Ham,2022-05-27
<msg493@enron.com>,Project Update,Thank you for your feedback on the latest draft. #493,Ham,2022-08-08
<msg494@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #494,Ham,2022-12-12
<msg495@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #495,Ham,2022-09-09
<msg496@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #496,Ham,2022-07-09
<msg497@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #497,Ham,2022-12-29
<msg498@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #498,Ham,2022-02-21
<msg499@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #499",Ham,2022-11-15
<msg500@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #500,Ham,2022-05-22
<msg501@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #501,Ham,2022-09-16
<msg502@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #502,Ham,2022-03-26
<msg503@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #503,Ham,2022-01-26
<msg504@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #504",Ham,2022-06-25
<msg505@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #505,Ham,2022-08-03
<msg506@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #506,Ham,2022-03-13
<msg507@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #507,Ham,2022-12-07
<msg508@enron.com>,Project Update,"Hi John, please find the attached report for this week. #508",Ham,2022-09-19
<msg509@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #509,Ham,2022-12-06
<msg510@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #510,Ham,2022-01-16
<msg511@enron.com>,Client Feedback,Please send the updated design documents by EOD. #511,Ham,2022-08-07
<msg512@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #512",Ham,2022-04-09
<msg513@enron.com>,Client Feedback,Please send the updated design documents by EOD. #513,Ham,2022-11-13
<msg514@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #514",Ham,2022-03-23
<msg515@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #515",Ham,2022-05-12
<msg516@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #516,Ham,2022-03-20
<msg517@enron.com>,Project Update,Please send the updated design documents by EOD. #517,Ham,2022-12-25
<msg518@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #518,Ham,2022-11-27
<msg519@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #519,Ham,2022-05-27
<msg520@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #520,Ham,2022-06-15
<msg521@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #521,Ham,2022-01-22
<msg522@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #522,Ham,2022-10-21
<msg523@enron.com>,Weekly Report,Please send the updated design documents by EOD. #523,Ham,2022-06-23
<msg524@enron.com>,Client Feedback,Please send the updated design documents by EOD. #524,Ham,2022-04-25
<msg525@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #525,Ham,2022-04-23
<msg526@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #526,Ham,2022-06-16
<msg527@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #527,Ham,2022-12-07
<msg528@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #528",Ham,2022-11-23
<msg529@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #529,Ham,2022-11-04
<msg530@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #530,Ham,2022-04-21
<msg531@enron.com>,Weekly Report,Please send the updated design documents by EOD. #531,Ham,2022-02-18
<msg532@enron.com>,Project Update,Please send the updated design documents by EOD. #532,Ham,2022-06-07
<msg533@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #533,Ham,2022-06-30
<msg534@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #534",Ham,2022-07-30
<msg535@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #535,Ham,2022-10-17
<msg536@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #536,Ham,2022-05-29
<msg537@enron.com>,Weekly Report,Please send the updated design documents by EOD. #537,Ham,2022-08-12
<msg538@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #538,Ham,2022-04-23
